4109101045 Sevilla sección 01045	Renta media por hogar	2017	40.557
4109101046 Sevilla sección 01046	Renta media por persona 	2017	15.657
4109101046 Sevilla sección 01046	Renta media por hogar	2017	36.337
4109101047 Sevilla sección 01047	Renta media por persona 	2017	15.195
4109101047 Sevilla sección 01047	Renta media por hogar	2017	37.034
4109101048 Sevilla sección 01048	Renta media por persona 	2017	14.920
4109101048 Sevilla sección 01048	Renta media por hogar	2017	33.396
4109101049 Sevilla sección 01049	Renta media por persona 	2017	15.416
4109101049 Sevilla sección 01049	Renta media por hogar	2017	33.895
4109101050 Sevilla sección 01050	Renta media por persona 	2017	13.314
4109101050 Sevilla sección 01050	Renta media por hogar	2017	29.308
4109101051 Sevilla sección 01051	Renta media por persona 	2017	15.113
4109101051 Sevilla sección 01051	Renta media por hogar	2017	34.074
4109102001 Sevilla sección 02001	Renta media por persona 	2017	14.340
4109102001 Sevilla sección 02001	Renta media por hogar	2017	31.290
4109102002 Sevilla sección 02002	Renta media por persona 	2017	9.374
4109102002 Sevilla sección 02002	Renta media por hogar	2017	21.181
4109102003 Sevilla sección 02003	Renta media por persona 	2017	14.413
4109102003 Sevilla sección 02003	Renta media por hogar	2017	33.547
4109102004 Sevilla sección 02004	Renta media por persona 	2017	13.020
4109102004 Sevilla sección 02004	Renta media por hogar	2017	32.366
4109102005 Sevilla sección 02005	Renta media por persona 	2017	13.992
4109102005 Sevilla sección 02005	Renta media por hogar	2017	35.792
4109102006 Sevilla sección 02006	Renta media por persona 	2017	10.950
4109102006 Sevilla sección 02006	Renta media por hogar	2017	26.110
4109102007 Sevilla sección 02007	Renta media por persona 	2017	11.138
4109102007 Sevilla sección 02007	Renta media por hogar	2017	27.639
4109102008 Sevilla sección 02008	Renta media por persona 	2017	10.837
4109102008 Sevilla sección 02008	Renta media por hogar	2017	24.697
4109102009 Sevilla sección 02009	Renta media por persona 	2017	7.509
4109102009 Sevilla sección 02009	Renta media por hogar	2017	17.513
4109102010 Sevilla sección 02010	Renta media por persona 	2017	8.260
4109102010 Sevilla sección 02010	Renta media por hogar	2017	15.499
4109102011 Sevilla sección 02011	Renta media por persona 	2017	6.334
4109102011 Sevilla sección 02011	Renta media por hogar	2017	16.767
4109102012 Sevilla sección 02012	Renta media por persona 	2017	5.421
4109102012 Sevilla sección 02012	Renta media por hogar	2017	15.987
4109102013 Sevilla sección 02013	Renta media por persona 	2017	7.297
4109102013 Sevilla sección 02013	Renta media por hogar	2017	17.135
4109102014 Sevilla sección 02014	Renta media por persona 	2017	9.426
4109102014 Sevilla sección 02014	Renta media por hogar	2017	22.766
4109102015 Sevilla sección 02015	Renta media por persona 	2017	6.295
4109102015 Sevilla sección 02015	Renta media por hogar	2017	17.198
4109102016 Sevilla sección 02016	Renta media por persona 	2017	8.184
4109102016 Sevilla sección 02016	Renta media por hogar	2017	20.720
4109102017 Sevilla sección 02017	Renta media por persona 	2017	11.564
4109102017 Sevilla sección 02017	Renta media por hogar	2017	26.254
