CUSEC;Barrio;Distrito;Poblacion;Shape__Are;xcoord;ycoord
4109104043;JUAN XXIII;Cerro Amate;1644;156279.052;-5.94573;37.37738
4109104036;AMATE;Cerro Amate;901;139399.1274;-5.95567;37.37811
4109106007;TRIANA CASCO ANTIGUO;Triana;1198;70790.38306;-6.00171;37.38336
4109105047;POLIGONO SUR;Sur;1159;175832.7996;-5.97064;37.35756
4109104011;LOS PAJAROS;Cerro Amate;1319;87462.72827;-5.95614;37.38671
4109106008;TRIANA CASCO ANTIGUO;Triana;1026;81274.72412;-6.00315;37.38437
4109105032;LA OLIVA;Sur;1361;65136.57983;-5.97072;37.36596
4109105013;POLIGONO SUR;Sur;940;122400.5735;-5.96475;37.35982
4109105046;POLIGONO SUR;Sur;1778;293907.6055;-5.9725;37.36461
4109105033;LA OLIVA;Sur;746;30042.56909;-5.96872;37.36528
4109104063;LA PLATA;Cerro Amate;2389;171731.6641;-5.94533;37.36942
4109104049;ROCHELAMBERT;Cerro Amate;1309;65127.82715;-5.95431;37.37426
4109105012;FELIPE II LOS DIEZ MANDAMIENTOS;Sur;926;75104.37646;-5.97195;37.37093
4109104064;PALMETE;Cerro Amate;2000;285405.8613;-5.92924;37.3722
4109104031;JUAN XXIII;Cerro Amate;840;68791.89087;-5.94945;37.37777
4109104030;LOS PAJAROS;Cerro Amate;1300;58046.13501;-5.95711;37.38211
4109104048;ROCHELAMBERT;Cerro Amate;733;32122.55591;-5.95437;37.37535
4109104045;JUAN XXIII;Cerro Amate;1222;32166.32837;-5.94682;37.37609
4109105056;POLIGONO SUR;Sur;1933;133102.3762;-5.96757;37.3588
4109105041;EL PORVENIR;Sur;2048;124994.6895;-5.98364;37.3708
4109104013;AMATE;Cerro Amate;1205;69527.67456;-5.95836;37.37723
4109106001;TRIANA CASCO ANTIGUO;Triana;1348;112839.998;-5.99867;37.38104
4109105020;GIRALDA SUR;Sur;2452;292776.6931;-5.9772;37.37483
4109105005;EL PORVENIR;Sur;1337;106993.7114;-5.98005;37.37096
4109105039;EL JUNCAL HISPALIS;Sur;946;60966.80444;-5.9678;37.3738
4109105022;EL PORVENIR;Sur;1526;134907.7429;-5.98209;37.36924
4109104055;PALMETE;Cerro Amate;986;164329.4756;-5.94116;37.36907
4109104039;EL CERRO;Cerro Amate;914;59977.95752;-5.95304;37.37146
4109105003;EL PORVENIR;Sur;1593;166222.3767;-5.98328;37.37323
4109104057;PALMETE;Cerro Amate;1467;1023076.701;-5.93859;37.38016
4109104068;PALMETE;Cerro Amate;1784;111548.2473;-5.94084;37.37915
4109104061;LA PLATA;Cerro Amate;1726;193999.1667;-5.94927;37.36749
4109105024;EL JUNCAL HISPALIS;Sur;1222;986485.9548;-5.96083;37.36746
4109105001;HUERTA DE LA SALUD;Sur;1408;86184.28711;-5.98031;37.37767
4109106006;TRIANA CASCO ANTIGUO;Triana;724;90271.11694;-5.99983;37.38318
4109105049;LA OLIVA;Sur;2051;163491.616;-5.97096;37.36386
4109104059;SANTA AURELIA CANTABRICO ATLANTICO LA ROMERIA;Cerro Amate;1657;43194.62061;-5.94723;37.38456
4109106009;TRIANA ESTE;Triana;1227;56658.95752;-6.00475;37.38242
