CUSEC;Barrio;Distrito;Población_Total;H_total;M_Total;H_00_Entre_0_y_4_años;H_01_Entre_5_y_9_años;H_02_Entre_10_y_14_años;H_03_Entre_15_y_19_años;H_04_Entre_20_y_24_años;H_05_Entre_25_y_29_años;H_06_Entre_30_y_34_años;H_07_Entre_35_y_39_años;H_08_Entre_40_y_44_años;H_09_Entre_45_y_49_años;H_10_Entre_50_y_54_años;H_11_Entre_55_y_59_años;H_12_Entre_60_y_64_años;H_13_Entre_65_y_69_años;H_14_Entre_70_y_74_años;H_15_Entre_75_y_79_años;H_16_Entre_80_y_84_años;H_17_Entre_85_y_89_años;H_18_Entre_90_y_más_años;M_00_Entre_0_y_4_años;M_01_Entre_5_y_9_años;M_02_Entre_10_y_14_años;M_03_Entre_15_y_19_años;M_04_Entre_20_y_24_años;M_05_Entre_25_y_29_años;M_06_Entre_30_y_34_años;M_07_Entre_35_y_39_años;M_08_Entre_40_y_44_años;M_09_Entre_45_y_49_años;M_10_Entre_50_y_54_años;M_11_Entre_55_y_59_años;M_12_Entre_60_y_64_años;M_13_Entre_65_y_69_años;M_14_Entre_70_y_74_años;M_15_Entre_75_y_79_años;M_16_Entre_80_y_84_años;M_17_Entre_85_y_89_años;M_18_Entre_90_y_más_años;Shape__Area;Shape__Length
4109101022;FERIA;Casco Antiguo;1453;699;754;26;32;22;22;25;29;55;71;80;71;67;51;52;32;31;18;10;4;1;40;28;31;31;26;43;65;67;60;50;69;42;51;38;26;25;29;21;12;88898.45435;1834.708349
4109101024;SAN GIL;Casco Antiguo;1391;642;749;30;40;35;33;31;26;32;44;63;82;65;50;45;20;17;15;8;4;2;24;32;43;31;40;36;36;62;86;74;60;57;39;30;28;26;23;12;10;83925.09106;1479.437398
4109101040;ALFALFA;Casco Antiguo;1407;665;742;23;25;42;36;53;36;35;48;57;52;62;33;33;32;41;22;19;11;5;20;20;34;36;63;28;45;40;61;44;52;58;50;51;36;43;34;14;13;199798.4475;2190.748173
4109101042;ALFALFA;Casco Antiguo;816;397;419;15;16;18;11;15;29;19;38;31;33;43;38;23;15;27;8;13;4;1;15;15;15;16;13;32;25;26;31;41;28;25;22;18;18;14;19;18;28;122458.9563;1568.709406
4109102006;CRUZ ROJA CAPUCHINOS;Macarena;962;445;517;23;24;21;17;16;31;32;33;44;48;34;32;20;10;24;14;11;8;3;22;21;16;19;24;26;34;40;42;50;43;31;28;22;36;26;19;13;5;42732.30957;1071.587618
4109102008;PIO XII;Macarena;1078;476;602;25;20;26;19;16;23;29;32;38;59;38;41;24;15;25;19;11;9;7;21;28;26;25;17;24;33;40;61;41;63;37;22;22;30;37;27;30;18;63225.14185;1519.250543
4109102023;BEGOÑA SANTA CATALINA;Macarena;2094;987;1107;52;51;61;38;71;90;84;80;87;88;80;55;42;28;21;24;18;12;5;40;63;52;40;60;66;79;105;113;91;85;58;39;38;49;46;43;26;14;73989.87109;1098.283682
4109102025;PINO FLORES;Macarena;800;350;450;6;19;11;11;14;24;25;29;29;34;23;15;14;23;25;24;15;5;4;19;16;16;9;15;16;29;29;40;30;26;23;29;30;43;32;27;18;3;56401.80298;1123.274201
4109102043;LOS PRINCIPES LA FONTANILLA;Macarena;2218;1016;1202;46;55;49;46;55;80;64;86;68;73;70;76;95;58;50;21;16;8;0;46;48;64;48;61;76;75;92;97;71;88;101;114;75;62;32;20;21;11;108555.3542;1526.296769
4109102045;LEON XIII LOS NARANJOS;Macarena;1516;685;831;31;33;34;25;29;26;41;50;56;53;48;38;41;22;46;55;37;17;3;22;31;28;24;25;29;53;49;62;53;54;40;37;60;84;59;56;47;18;58618.99463;1352.713103
4109101001;SANTA CATALINA;Casco Antiguo;1425;680;745;33;36;29;31;38;31;43;59;69;53;78;54;47;26;21;14;11;4;3;27;39;35;28;27;35;59;64;55;64;69;68;42;36;32;19;20;16;10;92466.12061;1418.590565
4109101003;FERIA;Casco Antiguo;732;371;361;7;12;19;14;23;24;29;36;32;30;36;29;26;22;9;9;7;5;2;15;13;15;8;20;18;21;32;23;32;36;37;20;17;18;9;13;10;4;45657.46362;1483.838272
4109101026;MUSEO;Casco Antiguo;1266;580;686;30;22;16;21;31;48;34;43;40;37;27;38;52;54;32;21;20;9;5;31;19;19;20;22;42;28;38;45;45;45;48;70;70;44;35;34;20;11;182154.9373;1961.107695
4109101028;SAN JULIAN;Casco Antiguo;1040;508;532;39;23;36;16;20;26;32;44;50;52;58;37;27;17;11;9;4;4;3;26;22;25;17;21;26;36;70;52;53;38;41;27;15;14;13;13;12;11;64209.27734;1115.319177
